"Date","Description","Comments","Check Number","Amount","Balance"
"01/25/2023","MCDONALD'S F34269 17645 CEDAR AVE LAKEVILLE MN Card 6394","","","-$18.59","$142.66"
"01/24/2023","COLDSTONE #21027 APPLE VALLEY MN Card 6394","","","-$13.98","$161.25"
"01/24/2023","REF# 24079742 To AHRENHOLZ,KIMBER x6192 Share 0001","","","-$47.50","$175.23"
"01/24/2023","To Share 0200 REF# 24079239","","","-$135.00","$222.73"
"01/24/2023","VISIONWORKS INC - 648 WOODBURY MN Card 6394","","","-$26.17","$357.73"
"01/23/2023","#045923 Amazon Prime*R92WT22A3 Amzn.com/bill WA  Card 15 #6394","","","-$16.10","$383.90"
"01/23/2023","LUNDS&BYERLYS WOODB WOODBURY MN Card 6394","","","-$11.79","$400.00"
"01/23/2023","To Share 0001 REF# 24058115","","","-$0.17","$411.79"
"01/22/2023","RAY J'S AMERICAN GRILL WOODBURY MN Card 6394","","","-$101.05","$411.96"
"01/22/2023","KWIK TRIP x02485 LAKE ELMO MN Card 6394","","","-$12.00","$513.01"
"01/22/2023","RONNALLYS PIZZA WOODBURY MN Card 6394","","","-$50.35","$525.01"
"01/21/2023","To Share 0200 REF# 24040719","","","-$200.00","$575.36" 
"01/21/2023","From Share 0200 REF# 24040715","","","$566.00","$775.36"
"01/21/2023","AMZN Mktp US*W71CT5H93 Amzn.com/bill WA Card 6394","","","-$56.64","$209.36"
"01/20/2023","To Share 0001 REF# 24029302","","","-$0.76","$266.00"
"01/20/2023","From Share 0200 REF# 24029241","","","$60.24","$266.76"
"01/18/2023","To Share 0200 REF# 23980545 TAX + BUFFER","","","-$635.00","$206.52"
"01/17/2023","YouNeedABudget com 801-6109169 UT Card 6394","","","-$14.99","$841.52"
"01/17/2023","WOODBURY TOBACCO WOODBURY MN Card 6394","","","-$26.77","$856.51"
"01/17/2023","TMOBILE POSTPAID WEB 800-937-8997 WA Card 6394","","","-$170.87","$883.28"
"01/16/2023","SS STORAGE - WOODBURY II 407-2487878 MN Card 6394","","","-$119.00","$1,054.15"
"01/16/2023","#075745 COMCAST ST. PAUL 800-266-2278 MN  Card 15 #6394","","","-$111.44","$1,173.15"
"01/15/2023","To Share 0200 REF# 23941861","","","-$614.63","$1,284.59"
"01/15/2023","From Share 0200 REF# 23941854","","","$1,128.28","$1,899.22"
"01/15/2023","To Share 0200 REF# 23941852","","","-$1,128.28","$770.94"
"01/15/2023","From Share 0200 REF# 23941849","","","$1,397.91","$1,899.22"
"01/15/2023","From Share 0200 REF# 23941841","","","$100.00","$501.31"
"01/15/2023","From Share 0200 REF# 23941818","","","$119.00","$401.31"
"01/15/2023","From Share 0200 REF# 23941801","","","$111.44","$282.31"
"01/15/2023","From Share 0200 REF# 23941774","","","$170.87","$170.87"
"01/15/2023","To Share 0200 REF# 23941721","","","-$58.76","$0.00"
"01/10/2023","IN *GORMAN & LODERMEIER, 651-3881511 MN Card 6394","","","-$2,500.00","$58.76"
"01/09/2023","From Share 0001 REF# 23793824","","","$1,500.00","$2,558.76"
"01/07/2023","DOORDASH DASHPASS WWW.DOORDASH. CA Card 3705","","","-$9.99","$1,058.76"
"01/04/2023","#078812 PROGRESSIVE *INSURANCE 800-776-4737 OH  Card 15 #6394","","","-$203.16","$1,068.75"
"01/03/2023","To Share 0200 REF# 23689084 FIRSTMARK SERVICES","","","-$219.07","$1,271.91"
"01/03/2023","#452444 AFFIRM PAY CQ7 SAN FRANCISCO CA  Card 15 #6394","","","-$30.77","$1,490.98"
"01/03/2023","To Share 0200 REF# 23689042 CITI - BEST BUY","","","-$51.13","$1,521.75"
"01/03/2023","To Share 0200 REF# 23689004 CAPITAL ONE - QUICKSILVER","","","-$72.00","$1,572.88"
"01/03/2023","To Share 0200 REF# 23688936 CAPITAL ONE - PAY OFF","","","-$727.61","$1,644.88"
"01/01/2023","To Share 0200 REF# 23655402","","","-$607.49","$2,372.49"
"01/01/2023","From Share 0200 REF# 23655394","","","$588.19","$2,979.98"
"01/01/2023","From Share 0200 REF# 23655385","","","$1,775.00","$2,391.79"
"01/01/2023","#042404 LTF*LIFE TIME MO DUES LIFETIME.LIFE MN  Card 15 #6394","","","-$127.48","$616.79"
